2024-08-07 17:56:22 | DEBUG | mylogger | main.py:254 | <module> | _PX4_COMMUNICATION_ENABLE False
2024-08-07 17:56:22 | DEBUG | mylogger | main.py:254 | <module> | _PX4_COMMUNICATION_ENABLE False
2024-08-07 17:56:22 | DEBUG | mylogger | main.py:254 | <module> | _PX4_COMMUNICATION_ENABLE False
2024-08-07 17:56:22 | DEBUG | mylogger | main.py:254 | <module> | _PX4_COMMUNICATION_ENABLE False
2024-08-07 17:56:22 | DEBUG | mylogger | main.py:254 | <module> | _PX4_COMMUNICATION_ENABLE False
2024-08-07 17:56:22 | DEBUG | mylogger | main.py:254 | <module> | _PX4_COMMUNICATION_ENABLE False
2024-08-07 17:56:22 | DEBUG | mylogger | main.py:254 | <module> | _PX4_COMMUNICATION_ENABLE False
2024-08-07 17:56:22 | DEBUG | mylogger | main.py:254 | <module> | _PX4_COMMUNICATION_ENABLE False
2024-08-07 17:56:22 | DEBUG | mylogger | main.py:254 | <module> | _PX4_COMMUNICATION_ENABLE False
2024-08-07 17:56:22 | DEBUG | mylogger | main.py:254 | <module> | _PX4_COMMUNICATION_ENABLE False
2024-08-07 17:56:22 | DEBUG | mylogger | main.py:254 | <module> | _PX4_COMMUNICATION_ENABLE False
2024-08-07 17:56:22 | INFO | mylogger | main.py:43 | px4_read | px4 communication connet
2024-08-07 17:56:22 | DEBUG | mylogger | main.py:254 | <module> | _PX4_COMMUNICATION_ENABLE False
2024-08-07 17:56:22 | DEBUG | mylogger | main.py:254 | <module> | _PX4_COMMUNICATION_ENABLE False
2024-08-07 17:56:22 | DEBUG | mylogger | main.py:254 | <module> | _PX4_COMMUNICATION_ENABLE False
2024-08-07 17:56:51 | INFO | mylogger | main.py:40 | px4_read | px4_read module
2024-08-07 17:56:54 | ERROR | mylogger | main.py:279 | <module> | Process-9 start error
2024-08-07 17:56:54 | INFO | mylogger | main.py:276 | <module> | Process-10 start
2024-08-07 17:56:54 | DEBUG | mylogger | main.py:277 | <module> | Process-10 start
2024-08-07 17:56:54 | INFO | mylogger | main.py:276 | <module> | Process-11 start
2024-08-07 17:56:54 | DEBUG | mylogger | main.py:277 | <module> | Process-11 start
2024-08-07 17:56:54 | INFO | mylogger | main.py:276 | <module> | Process-12 start
2024-08-07 17:56:54 | DEBUG | mylogger | main.py:277 | <module> | Process-12 start
2024-08-07 17:56:54 | DEBUG | mylogger | main.py:103 | Inference_seg | Inference : frame_queue is empty!!
2024-08-07 17:56:54 | INFO | mylogger | main.py:276 | <module> | Process-13 start
2024-08-07 17:56:54 | DEBUG | mylogger | main.py:277 | <module> | Process-13 start
2024-08-07 17:56:55 | DEBUG | mylogger | main.py:103 | Inference_seg | Inference : frame_queue is empty!!
2024-08-07 17:56:55 | DEBUG | mylogger | main.py:103 | Inference_seg | Inference : frame_queue is empty!!
2024-08-07 17:56:55 | DEBUG | mylogger | main.py:103 | Inference_seg | Inference : frame_queue is empty!!
2024-08-07 17:56:55 | DEBUG | mylogger | main.py:103 | Inference_seg | Inference : frame_queue is empty!!
2024-08-07 17:56:55 | DEBUG | mylogger | main.py:103 | Inference_seg | Inference : frame_queue is empty!!
2024-08-07 17:56:55 | DEBUG | mylogger | main.py:103 | Inference_seg | Inference : frame_queue is empty!!
2024-08-07 17:56:55 | DEBUG | mylogger | main.py:103 | Inference_seg | Inference : frame_queue is empty!!
2024-08-07 17:56:55 | DEBUG | mylogger | main.py:103 | Inference_seg | Inference : frame_queue is empty!!
2024-08-07 17:56:55 | DEBUG | mylogger | main.py:103 | Inference_seg | Inference : frame_queue is empty!!
2024-08-07 17:56:55 | DEBUG | mylogger | main.py:103 | Inference_seg | Inference : frame_queue is empty!!
